"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"13,8";"14,3";"13,7";"93,0";"93,0";"92,0";"12,7";"13,0";"12,6";"862,6";"862,6";"861,7";"1,2";"124,0";"3,3";"";"0,0"
"01/01/2024";"0100";"13,8";"13,9";"13,6";"93,0";"94,0";"93,0";"12,7";"12,8";"12,6";"863,2";"863,2";"862,3";"1,3";"105,0";"3,5";"";"0,0"
"01/01/2024";"0200";"14,0";"14,0";"13,8";"91,0";"93,0";"91,0";"12,5";"12,7";"12,4";"863,5";"863,5";"863,2";"1,0";"72,0";"3,4";"";"0,0"
"01/01/2024";"0300";"14,3";"14,3";"14,0";"90,0";"91,0";"89,0";"12,6";"12,6";"12,5";"863,3";"863,5";"863,3";"0,7";"16,0";"1,9";"";"0,0"
"01/01/2024";"0400";"13,9";"14,3";"13,8";"93,0";"93,0";"90,0";"12,7";"12,7";"12,6";"862,7";"863,3";"862,6";"0,9";"11,0";"4,1";"";"0,0"
"01/01/2024";"0500";"13,2";"13,9";"13,2";"93,0";"93,0";"92,0";"12,1";"12,8";"12,1";"862,3";"862,7";"862,3";"0,5";"358,0";"3,2";"";"0,0"
"01/01/2024";"0600";"13,4";"13,4";"13,2";"91,0";"94,0";"91,0";"12,0";"12,3";"11,9";"861,6";"862,3";"861,5";"1,2";"1,0";"4,3";"";"0,0"
"01/01/2024";"0700";"13,2";"13,4";"13,2";"92,0";"92,0";"91,0";"11,8";"12,0";"11,8";"861,3";"861,6";"861,2";"1,4";"17,0";"5,7";"";"0,0"
"01/01/2024";"0800";"12,9";"13,2";"12,9";"92,0";"92,0";"91,0";"11,6";"11,8";"11,6";"861,6";"861,6";"861,2";"1,2";"17,0";"4,7";"";"0,0"
"01/01/2024";"0900";"12,8";"12,9";"12,7";"92,0";"93,0";"92,0";"11,5";"11,7";"11,4";"862,2";"862,2";"861,5";"0,6";"315,0";"3,9";"28,70";"0,0"
"01/01/2024";"1000";"14,0";"14,0";"12,8";"90,0";"92,0";"89,0";"12,4";"12,4";"11,5";"862,7";"862,8";"862,2";"1,3";"336,0";"4,4";"498,60";"0,0"
"01/01/2024";"1100";"15,1";"15,4";"13,9";"84,0";"90,0";"84,0";"12,4";"13,0";"12,1";"862,8";"862,8";"862,5";"1,1";"339,0";"4,5";"1617,40";"0,0"
"01/01/2024";"1200";"16,9";"16,9";"14,5";"80,0";"88,0";"80,0";"13,3";"13,7";"12,1";"862,8";"862,9";"862,7";"1,3";"357,0";"4,4";"1785,30";"0,0"
"01/01/2024";"1300";"19,2";"19,4";"16,7";"70,0";"81,0";"69,0";"13,6";"14,2";"12,7";"862,8";"862,9";"862,7";"1,5";"8,0";"4,3";"3193,10";"0,0"
"01/01/2024";"1400";"20,6";"21,3";"18,6";"69,0";"75,0";"65,0";"14,8";"15,6";"13,1";"862,5";"862,9";"862,5";"1,3";"3,0";"4,2";"3485,30";"0,0"
"01/01/2024";"1500";"20,0";"21,7";"19,7";"67,0";"71,0";"62,0";"13,8";"15,4";"13,2";"862,6";"862,7";"862,5";"1,5";"326,0";"3,7";"3080,90";"0,0"
"01/01/2024";"1600";"21,8";"22,3";"19,9";"62,0";"69,0";"56,0";"14,2";"15,0";"12,7";"861,9";"862,6";"861,9";"1,0";"320,0";"4,1";"3959,10";"0,0"
"01/01/2024";"1700";"22,7";"22,8";"20,4";"53,0";"64,0";"47,0";"12,7";"14,4";"10,5";"861,0";"861,9";"861,0";"1,8";"310,0";"4,1";"3048,80";"0,0"
"01/01/2024";"1800";"22,9";"23,6";"21,2";"57,0";"63,0";"50,0";"14,0";"14,5";"11,9";"860,8";"861,2";"860,7";"1,1";"333,0";"3,8";"2626,40";"0,0"
"01/01/2024";"1900";"22,1";"23,7";"21,6";"59,0";"59,0";"50,0";"13,7";"14,8";"12,2";"860,1";"860,8";"860,1";"0,6";"12,0";"3,4";"2531,80";"0,0"
"01/01/2024";"2000";"21,9";"23,0";"21,6";"55,0";"60,0";"52,0";"12,5";"14,0";"11,8";"859,7";"860,2";"859,7";"1,4";"293,0";"3,6";"1389,50";"0,0"
"01/01/2024";"2100";"21,3";"22,1";"21,2";"61,0";"64,0";"55,0";"13,4";"14,1";"12,5";"859,7";"860,0";"859,7";"0,2";"315,0";"3,0";"566,30";"0,0"
"01/01/2024";"2200";"20,0";"21,3";"19,8";"68,0";"69,0";"60,0";"13,8";"14,0";"13,1";"859,8";"859,9";"859,7";"0,4";"87,0";"3,1";"131,70";"0,0"
"01/01/2024";"2300";"18,3";"20,0";"18,1";"82,0";"87,0";"68,0";"15,2";"15,8";"14,0";"860,7";"860,7";"859,8";"0,4";"62,0";"2,1";"8,00";"0,0"
"02/01/2024";"0000";"16,8";"18,5";"16,8";"87,0";"87,0";"79,0";"14,7";"15,0";"14,6";"860,8";"861,0";"860,7";"0,5";"11,0";"2,7";"";"0,0"
"02/01/2024";"0100";"16,3";"16,8";"16,3";"90,0";"90,0";"87,0";"14,6";"14,8";"14,6";"861,4";"861,4";"860,5";"1,9";"35,0";"3,6";"";"0,0"
"02/01/2024";"0200";"15,9";"16,3";"15,9";"90,0";"90,0";"89,0";"14,3";"14,6";"14,3";"861,6";"861,6";"861,4";"2,2";"16,0";"4,6";"";"0,0"
"02/01/2024";"0300";"15,4";"15,9";"15,4";"91,0";"92,0";"90,0";"14,0";"14,3";"13,9";"861,2";"861,6";"861,2";"2,1";"9,0";"5,4";"";"0,0"
"02/01/2024";"0400";"15,0";"15,4";"15,0";"92,0";"92,0";"91,0";"13,7";"13,9";"13,7";"860,5";"861,3";"860,5";"2,1";"14,0";"5,0";"";"0,0"
